epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,14810.9,0.46166,0.55125,0.36057,0.94447,0.99299,1,0.995,0.94145,0.99299,1,0.995,0.97616,0.33012,0.49028,0.27678,0.82284,0.00703,0.00703,0.00703
32,15223.1,0.45311,0.56213,0.35648,0.93225,0.99376,1,0.995,0.95455,0.99376,1,0.995,0.97126,0.32894,0.4757,0.21977,0.8234,0.006931,0.006931,0.006931
33,15684.2,0.45167,0.54261,0.36309,0.91953,0.99259,1,0.995,0.94418,0.99259,1,0.995,0.96251,0.34066,0.48094,0.22518,0.82232,0.006832,0.006832,0.006832
34,16133.6,0.46242,0.56615,0.35227,0.9312,0.98142,1,0.995,0.94425,0.98142,1,0.995,0.9739,0.32921,0.49083,0.22652,0.81592,0.006733,0.006733,0.006733
35,16607.1,0.45405,0.57395,0.33617,0.93158,0.98736,1,0.995,0.96213,0.98736,1,0.995,0.96164,0.31396,0.4634,0.25127,0.80938,0.006634,0.006634,0.006634
36,17021.2,0.44546,0.57906,0.33638,0.92936,0.99331,1,0.995,0.93124,0.99331,1,0.995,0.96427,0.3291,0.45806,0.25079,0.82695,0.006535,0.006535,0.006535
37,17444.1,0.469,0.57332,0.34874,0.93245,0.99335,1,0.995,0.94256,0.99335,1,0.995,0.97249,0.31888,0.48206,0.21246,0.8155,0.006436,0.006436,0.006436
38,17858.6,0.45708,0.58331,0.3324,0.92205,0.99412,1,0.995,0.93886,0.99412,1,0.995,0.97753,0.33866,0.4822,0.2271,0.80597,0.006337,0.006337,0.006337
39,18373.8,0.457,0.61397,0.33772,0.91992,0.99205,1,0.995,0.93219,0.99205,1,0.995,0.96864,0.33865,0.48617,0.20501,0.83049,0.006238,0.006238,0.006238
40,18796.8,0.45522,0.58238,0.343,0.92236,0.99283,1,0.995,0.9468,0.99283,1,0.995,0.96131,0.31498,0.47371,0.22293,0.80741,0.006139,0.006139,0.006139
